,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Fare_Tax,Food Charges,Luggage Charges
0,0,3,male,22,1,0,7.25,S,2.175,10.875,4.35
1,1,1,female,38,1,0,71.2833,C,21.38499,106.92495,42.76998
2,1,3,female,26,0,0,7.925,S,2.3775,11.8875,4.755
3,1,1,female,35,1,0,53.1,S,15.93,79.65,31.86
4,0,3,male,35,0,0,8.05,S,2.415,12.075,4.83
5,0,1,male,54,0,0,51.8625,S,15.55875,77.79375,31.1175
6,0,3,male,2,3,1,21.075,S,6.3225,31.6125,12.645
7,1,3,female,27,0,2,11.1333,S,3.33999,16.69995,6.67998
8,1,2,female,14,1,0,30.0708,C,9.02124,45.1062,18.04248
9,1,3,female,4,1,1,16.7,S,5.01,25.05,10.02
10,1,1,female,58,0,0,26.55,S,7.965,39.825,15.93
11,0,3,male,20,0,0,8.05,S,2.415,12.075,4.83
12,0,3,male,39,1,5,31.275,S,9.3825,46.9125,18.765
13,0,3,female,14,0,0,7.8542,S,2.35626,11.7813,4.71252
14,1,2,female,55,0,0,16,S,4.8,24,9.6
15,0,3,male,2,4,1,29.125,Q,8.7375,43.6875,17.475
16,0,3,female,31,1,0,18,S,5.4,27,10.8
17,0,2,male,35,0,0,26,S,7.8,39,15.6
18,1,2,male,34,0,0,13,S,3.9,19.5,7.8
19,1,3,female,15,0,0,8.0292,Q,2.40876,12.0438,4.81752
20,1,1,male,28,0,0,35.5,S,10.65,53.25,21.3
21,0,3,female,8,3,1,21.075,S,6.3225,31.6125,12.645
22,1,3,female,38,1,5,31.3875,S,9.41625,47.08125,18.8325
23,0,1,male,19,3,2,263,S,78.9,394.5,157.8
24,0,1,male,40,0,0,27.7208,C,8.31624,41.5812,16.63248
25,0,2,male,66,0,0,10.5,S,3.15,15.75,6.3
26,0,1,male,28,1,0,82.1708,C,24.65124,123.2562,49.30248
27,0,1,male,42,1,0,52,S,15.6,78,31.2
28,0,3,male,21,0,0,8.05,S,2.415,12.075,4.83
29,0,3,female,18,2,0,18,S,5.4,27,10.8
30,1,3,female,14,1,0,11.2417,C,3.37251,16.86255,6.74502
31,0,3,female,40,1,0,9.475,S,2.8425,14.2125,5.685
32,0,2,female,27,1,0,21,S,6.3,31.5,12.6
33,1,2,female,3,1,2,41.5792,C,12.47376,62.3688,24.94752
34,1,3,female,19,0,0,7.8792,Q,2.36376,11.8188,4.72752
35,0,3,female,18,1,0,17.8,S,5.34,26.7,10.68
36,0,3,male,7,4,1,39.6875,S,11.90625,59.53125,23.8125
37,0,3,male,21,0,0,7.8,S,2.34,11.7,4.68
38,1,1,female,49,1,0,76.7292,C,23.01876,115.0938,46.03752
39,1,2,female,29,1,0,26,S,7.8,39,15.6
40,0,1,male,65,0,1,61.9792,C,18.59376,92.9688,37.18752
41,1,2,female,21,0,0,10.5,S,3.15,15.75,6.3
42,0,3,male,28.5,0,0,7.2292,C,2.16876,10.8438,4.33752
43,1,2,female,5,1,2,27.75,S,8.325,41.625,16.65
44,0,3,male,11,5,2,46.9,S,14.07,70.35,28.14
45,0,3,male,22,0,0,7.2292,C,2.16876,10.8438,4.33752
46,0,1,male,45,1,0,83.475,S,25.0425,125.2125,50.085
47,0,3,male,4,3,2,27.9,S,8.37,41.85,16.74
48,1,2,female,29,0,0,10.5,S,3.15,15.75,6.3
49,0,3,male,19,0,0,8.1583,S,2.44749,12.23745,4.89498
50,1,3,female,17,4,2,7.925,S,2.3775,11.8875,4.755
51,0,3,male,26,2,0,8.6625,S,2.59875,12.99375,5.1975
52,0,2,male,32,0,0,10.5,S,3.15,15.75,6.3
53,0,3,female,16,5,2,46.9,S,14.07,70.35,28.14
54,0,2,male,21,0,0,73.5,S,22.05,110.25,44.1
55,0,3,male,26,1,0,14.4542,C,4.33626,21.6813,8.67252
56,1,3,male,32,0,0,56.4958,S,16.94874,84.7437,33.89748
57,0,3,male,25,0,0,7.65,S,2.295,11.475,4.59
58,1,2,male,0.83,0,2,29,S,8.7,43.5,17.4
59,1,3,female,30,0,0,12.475,S,3.7425,18.7125,7.485
60,0,3,male,22,0,0,9,S,2.7,13.5,5.4
61,1,3,male,29,0,0,9.5,S,2.85,14.25,5.7
62,0,1,male,28,0,0,47.1,S,14.13,70.65,28.26
63,1,2,female,17,0,0,10.5,S,3.15,15.75,6.3
64,1,3,female,33,3,0,15.85,S,4.755,23.775,9.51
65,0,3,male,16,1,3,34.375,S,10.3125,51.5625,20.625
